epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,467.094,1.64094,0.43428,0.93775,1.72136,0.00333225,0.00333225,0.00333225
2,944.197,1.28098,0.54122,0.96651,1.34982,0.00633563,0.00633563,0.00633563
3,1441.09,1.12167,0.60271,0.97983,1.13169,0.00900902,0.00900902,0.00900902
4,1938.03,1.0454,0.62791,0.97985,1.07968,0.008515,0.008515,0.008515
5,2440.62,0.98596,0.63322,0.98131,1.07534,0.00802,0.00802,0.00802
6,2930.39,0.95945,0.64324,0.98322,1.03687,0.007525,0.007525,0.007525
7,3421.17,0.93584,0.65131,0.98371,1.00294,0.00703,0.00703,0.00703
8,3915.24,0.91547,0.65361,0.98387,0.99554,0.006535,0.006535,0.006535
9,4409.8,0.89904,0.65701,0.98394,0.97747,0.00604,0.00604,0.00604
10,4898.08,0.87945,0.65987,0.98369,0.96783,0.005545,0.005545,0.005545
11,5385.22,0.85937,0.66368,0.98341,0.95844,0.00505,0.00505,0.00505
12,5874.18,0.84035,0.66679,0.98306,0.94897,0.004555,0.004555,0.004555
13,6377.72,0.8174,0.66896,0.98245,0.94615,0.00406,0.00406,0.00406
14,6882.5,0.79507,0.67084,0.9818,0.94288,0.003565,0.003565,0.003565
15,7381.74,0.76976,0.67258,0.98168,0.94276,0.00307,0.00307,0.00307
16,7882.24,0.74157,0.67415,0.98168,0.94199,0.002575,0.002575,0.002575
17,8371.64,0.70699,0.67645,0.98154,0.94185,0.00208,0.00208,0.00208
18,8861.19,0.67511,0.6782,0.98137,0.94468,0.001585,0.001585,0.001585
19,9350.09,0.63734,0.6796,0.9807,0.95523,0.00109,0.00109,0.00109
20,9779.87,0.59421,0.68123,0.97985,0.96779,0.000595,0.000595,0.000595
